"主卡","交易店","交易时间","POS.ID","交易号","小票序号","税后金额","税前金额","商品交易数量","商品大类","商品小类","商品编号"
11706160107,466,2016-08-09,20,265,6,150,128.2051282,1,3,31,70288932
11706160107,466,2016-08-09,20,265,15,7.9,6.7521367,1,16,162,20215702
11706160107,466,2016-08-09,20,265,13,7.9,6.7521367,1,14,143,10134004
11706160107,466,2016-08-09,20,265,4,138,117.9487179,2,3,32,10326178
11706160107,466,2016-08-09,20,265,8,799,682.9059829,1,4,44,10298397
11706160107,466,2016-08-09,20,265,17,14.9,12.7350427,1,16,163,80237683
11706201057,466,2016-08-17,15,117,4,7.9,6.7521367,1,14,143,50202487
11706201057,466,2016-08-17,15,117,6,39.8,34.017094,2,14,143,60291925
11706282530,466,2016-08-29,2,27,13,90,76.9230769,6,2,21,40180495
11706282530,466,2016-08-29,2,27,4,207,176.9230769,3,2,21,20301988
11706282530,466,2016-08-29,2,27,6,69,58.9743589,1,16,164,96755385
11706282530,466,2016-08-29,2,27,8,4.5,3.8461538,1,19,192,20188483
11706282530,466,2016-08-29,2,27,17,49,41.8803418,1,10,103,80301424
11706282530,466,2016-08-29,2,27,19,17.4,14.8717948,6,19,192,30188722
11706282530,466,2016-08-29,2,27,15,49,41.8803418,1,10,103,306977
11706291833,466,2016-07-18,20,302,4,249,212.8205128,1,6,61,50241460
11706291833,466,2016-07-18,20,302,13,13.8,11.7948717,2,18,182,10196290
11706291833,466,2016-07-18,20,302,6,14.9,12.7350427,1,9,92,135570
11706291833,466,2016-07-18,20,302,8,9.9,8.4615384,1,19,191,177659
11706293968,330,2016-07-08,15,161,4,19.8,16.9230769,2,14,142,60208479
11706297489,330,2016-08-20,5,256,14,49,41.8803418,1,11,113,30345982
11706297489,330,2016-08-20,5,256,16,5.8,4.9572649,2,15,152,40255513
11706297489,330,2016-08-20,5,256,4,299,255.5555555,1,6,61,10253068
11706297489,330,2016-08-20,5,256,6,19.9,17.008547,1,3,31,70261230
11706297489,330,2016-08-20,5,256,8,39.9,34.1025641,1,18,182,90323958
11706297489,330,2016-08-20,5,256,10,5.9,5.042735,1,15,152,90216307
11706297489,330,2016-08-20,5,256,12,9.8,8.3760683,2,15,151,30267757
11706409468,466,2016-07-26,19,283,20,99,84.6153846,1,14,141,70165832
11706409468,466,2016-07-26,19,283,22,9.9,8.4615384,1,14,143,213544
11706409468,466,2016-07-26,19,283,44,19.9,17.008547,1,10,101,90305940
11706409468,466,2016-07-26,19,283,46,79,67.5213675,1,12,123,60204909
11706409468,466,2016-07-26,19,283,5,9.9,8.4615384,1,10,105,30240503
11706409468,466,2016-07-26,19,283,9,16,13.6752136,1,18,181,317792
11706409468,466,2016-07-26,19,283,18,3.9,3.3333333,1,7,76,50247749
11706409468,466,2016-07-26,19,283,29,59,50.4273504,1,10,105,70291883
11706409468,466,2016-07-26,19,283,31,19.9,17.008547,1,7,76,30177257
11706409468,466,2016-07-26,19,283,39,9.9,8.4615384,1,14,143,20166075
11706409468,466,2016-07-26,19,283,54,19.9,17.008547,1,6,62,20285139
11706409468,466,2016-07-26,19,283,7,49,41.8803418,1,16,164,70279956
